Version:1.0.1,,,,,,,,,,,,,,,,,,
ID_VALUE,ID_NAME,TYPE,Parameters Number,Original Format,,,,,,,,,,,,,
1353,,INT32,3,"""motion sensor cal stop, x_avg: %d y_avg: %d z_avg: %d""",,,,,,,,,,,,
1354,,INT32,3,"""motion sensor set thr: %d %d %d""",,,,,,,,,,,,
1355,,INT32,1,"""motion sensor set range: %d""",,,,,,,,,,,,
1356,,INT32,1,"""motion sensor set sniff mode: %d"" ",,,,,,,,,,,,
1357,,INT32,6,"""motion sensor set reg thr: %d %d %d %d %d %d""",,,,,,,,,,,,
1358,,NONE,0,"""motion sensor cal num is 0""",,,,,,,,,,,,
1359,,INT32,1,"""motion sensor set power mode: %d"" ",,,,,,,,,,,,
1360,,INT32,1,"""motion sensor param flash write failed: %d""",,,,,,,,,,,,
1361,,INT32,3,"""motion sensor collision reason x_avg: %d, y_avg: %d, z_avg: %d""",,,,,,,,,,,,
1362,,NONE,0,"""motion sensor calibration timeout""",,,,,,,,,,,,
1363,,NONE,0,"""motion sensor thr set failed: invalid input""",,,,,,,,,,,,
1364,,NONE,0,"""motion sensor thr get failed: invalid input""",,,,,,,,,,,,
1365,,NONE,0,"""motion sensor get calibration param failed: invalid input""",,,,,,,,,,,,
1366,,NONE,0,"""motion sensor set calibration param failed: invalid input""",,,,,,,,,,,,
1367,,NONE,0,"""motion sensor reg thr set: invalid input""",,,,,,,,,,,,
1368,,INT32,1,"""motion sensor cal start failed, not in active mode, current mode: %d""",,,,,,,,,,,,
1369,,NONE,0,"""motion sensor get result failed: invalid input""",,,,,,,,,,,,
1370,,NONE,0,"""motion sensor get result failed: x  or y or z cnt is 0""",,,,,,,,,,,,
1371,,NONE,0,"""VC report task send msg param error!!!""",,,,,,,,,,,,
1372,,BYTES,10,"""VC report task send msg into queue fail: """,,,,,,,,,,,,
1373,,NONE,0,"""VC exit repair mode""",,,,,,,,,,,,
1374,,INT32,1,"""VC UART recv trans no %d repeat filter""",,,,,,,,,,,,
1375,,INT32,1,"""VC UART msg parsing fail: %d len: %d""",,,,,,,,,,,,
1376,,INT32,4,"""VC UART recv msg: trans no-%d id-0x%02x type-0x%02x len-%d""",,,,,,,,,,,,
1377,,STRING,1,"""VC power up VIN: %s""",,,,,,,,,,,,
1378,,STRING,1,"""VC sdk version: %s""",,,,,,,,,,,,
1379,,BYTES,2,"""VC vehicle alarm clear""",,,,,,,,,,,,
1380,,INT32,8,"""VC vcbox user config change, start zone: %d, peps zone: %d, trunk zone %d, peps en: %d, peps trunk en %d, kick en: %d, intelligence_en: %d, comfort_en: %d""",,,,,,,,,,,,
1381,,NONE,0,"""VC vcbox enter system sleep""",,,,,,,,,,,,
1382,,BYTES,2,"""VC vehicle alarm report""",,,,,,,,,,,,
1383,,BYTES,8,"""VC vehicle fault info""",,,,,,,,,,,,
1384,,BYTES,6,"""VC vehicle fault info""",,,,,,,,,,,,
